ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
2,-67,-76,-77,-74,-77,-63,-78,-72,-39,-74,-77,-76,-79,-68,-53,-60,-72,-69,-70
2,-71,-81,-76,-76,-76,-65,-73,-68,-40,-73,-79,-76,-78,-70,-53,-61,-72,-73,-68
2,-71,-81,-76,-76,-76,-65,-73,-68,-40,-73,-79,-76,-78,-70,-53,-61,-72,-73,-68
2,-74,-77,-76,-74,-81,-59,-68,-62,-40,-73,-73,-76,-78,-69,-51,-68,-77,-73,-77
2,-74,-77,-76,-74,-81,-59,-68,-62,-40,-73,-73,-76,-78,-69,-51,-68,-77,-73,-77
2,-74,-77,-76,-74,-81,-59,-68,-62,-40,-73,-73,-76,-78,-69,-51,-68,-77,-73,-77
2,-79,-77,-84,0,-73,-68,-68,-63,-47,-73,-73,-76,-74,-62,-55,-72,-69,-73,-67
2,-79,-77,-84,0,-73,-68,-68,-63,-47,-73,-73,-76,-74,-62,-55,-72,-69,-73,-67
2,-70,-68,-84,-72,-74,-66,-68,-67,-57,-62,-72,-79,-74,-58,-51,-65,-75,-77,-62
2,-70,-68,-84,-72,-74,-66,-68,-67,-57,-62,-72,-79,-74,-58,-51,-65,-75,-77,-62
2,-68,-68,-83,-73,-81,-65,-72,-70,-46,-65,-72,-74,-74,-75,-56,-71,-75,-69,-71
2,-68,-68,-83,-73,-81,-65,-72,-70,-46,-65,-72,-74,-74,-75,-56,-71,-75,-69,-71
2,-67,-68,-77,-77,-77,-62,-70,-69,-75,-69,-72,-74,-73,-70,-54,-65,-72,-72,-71
2,-67,-68,-77,-77,-77,-62,-70,-69,-75,-69,-72,-74,-73,-70,-54,-65,-72,-72,-71
2,-67,-68,-77,-77,-77,-62,-70,-69,-75,-69,-72,-74,-73,-70,-54,-65,-72,-72,-71
